,evaluation_timestep,eval_start_date,eval_end_date,eval_length,signal_length,holding_period,opt_entry_exit,pmwf,ur_1,ur_signal,uhr,ufmfgs,ctwof1,ctwof2,num_penu,penu_filter_thresh,profit,sharpe,av_pnl,av_pnl_holding,stdev_pnl,lb1_0,lb1_1,lb1_2,lb1_3,lb1_4,lb1_5,lb1_6,lb5_0,lb5_1,lb5_2,lb5_3,lb5_4,lb5_5,lb5_6
995,463,2023-08-01,2023-08-29,20,20,19,1,1,0,1,0,1,0,0,0.2,0.25,1.0148854335674613,0.3658158885492037,0.0157076959944553,0.0149223111947325,0.0429388019660676,1.502715704515438,0.4877636353132508,0.0698470619724753,-0.18535660624458744,-0.055734473441410366,0.2767542254622724,-0.5445248995089571,1.483055262899297,0.9968423647312251,-0.13019510928979966,0.4277248207124706,-0.21154180626820746,0.43294671674233737,-0.003424383381187227
996,486,2023-09-01,2023-10-02,20,20,20,1,1,0,1,0,1,0,0,0.2,0.25,0.9417028355765896,-1.4545414146593796,-0.0591413355372503,-0.0591413355372503,0.040659781111217,1.4521886197349343,-1.8215348443727817,0.37076420388437753,-0.2529329739669563,0.5704209529012367,0.4934731738055321,-0.2592896041515971,-1.1728836683136612,-1.004175900252226,0.20042693070388332,-0.7334022302966972,0.7207281479408016,0.4126458131462143,-0.19893598095893658
997,506,2023-10-02,2023-10-30,20,20,18,1,1,0,1,0,1,0,0,0.2,0.25,0.9966757414733252,-0.0615539050673292,-0.0024997711051223,-0.0022497939946101,0.0406110888072502,-2.836377861560491,-0.362795405253067,0.5901674047744742,-0.4518673729719669,0.0961853693721996,0.07042485521049784,-0.28509770950553404,-3.241560481188878,0.8568417264161501,-0.2461114772846267,0.38608652765472234,0.24198841462007337,0.162694974326149,-0.31577640790982264
998,528,2023-11-01,2023-11-30,20,20,20,1,1,0,1,0,1,0,0,0.2,0.25,0.9996869894281868,0.0040827657456278,0.0001204969951122,0.0001204969951122,0.0295135706086811,-1.6403800964782487,-1.4567409150597586,-0.09663191379161444,0.30139464746806455,0.9290290800943638,0.14535690223314465,0.7165206471628013,-2.9334782483980226,-0.22736239880369893,0.21979208853249513,-0.7194734428855907,0.3573282510828145,-0.10374418127718968,-0.3330949611485333
999,549,2023-12-01,2024-01-02,20,20,20,1,1,0,1,0,1,0,0,0.2,0.25,0.9679281035745488,-1.1320454968993985,-0.0321630727925448,-0.0321630727925448,0.0284114665714739,2.0369956338701334,0.6575941389545321,-0.7862351988314115,0.07448665002985495,0.25848267462897456,0.25842977739685896,-0.08764665006837263,2.2871777351697187,0.37764753746179175,-0.42871661622123974,-0.4627700390249247,0.3044474367610124,0.018697257339101395,-0.6538210471994524
1000,569,2024-01-02,2024-01-31,20,20,20,1,1,0,1,0,1,0,0,0.2,0.25,0.9535597660693484,-1.531419619300778,-0.0470241759587369,-0.0470241759587369,0.0307062645444019,1.6851806996048107,0.4560853329209476,0.21772896532867864,-0.8927754726767683,-0.03692309592514815,-0.11220529478077564,-0.08329976663146359,1.2862499055542698,1.7983627463168204,0.12257264437318607,0.44620216196462975,-0.4188082302704612,0.19039653071549573,-0.027131223507349162
1001,590,2024-02-01,2024-03-01,20,20,20,1,1,0,1,0,1,0,0,0.2,0.25,1.079826782789291,1.3000993687530815,0.0787669601882035,0.0787669601882035,0.0605853383835948,-0.07928980962677971,2.015025524892733,0.1975907054331569,0.2956198093578516,-0.41840082906562354,0.21483494229833658,0.046942246610956334,1.6057836917631443,0.7740698881804428,1.1937335946613838,-0.3001295853109322,-0.7096342693664043,0.07389794320262115,0.01494810352460952
1002,610,2024-03-01,2024-04-01,20,20,19,1,1,0,1,0,1,0,0,0.2,0.25,0.954746937487247,-0.9283058158377646,-0.0450545114272561,-0.0428017858558933,0.0485341259944557,1.8226601315888074,0.3599444800180071,0.3700231286819989,0.18736054267170277,0.4028828853815564,-0.11188897130756126,-0.9430358833318196,1.707475583359438,0.5347363502198689,0.762852012683566,0.474161267571833,-0.04967903555010473,0.021728221586229723,0.1907563024577296
1003,630,2024-04-01,2024-04-29,20,20,16,1,1,0,1,0,1,0,0,0.2,0.25,0.9747817793843,-0.6705219610457956,-0.0248359641144121,-0.0198687712915297,0.0370397474762439,2.0253236092747273,0.2547605389017673,-0.43355810357187047,0.39165752365162554,0.031690170747781896,0.5643174922015125,0.004089241068224749,2.339782663344536,-0.30584136286829033,0.347471367074475,-0.5976899406707535,-0.09909238614854717,0.18326245265228366,-0.011864707464388138
1004,400,2023-05-01,2023-05-30,20,20,11,0,1,0,1,1,1,0,0,0.2,0.25,0.9917511822867342,-0.3881566770055306,-0.0080653628245356,-0.0044359495534946,0.0207786270398763,2.252238151201439,-1.0479075235120614,0.058688038990340065,-0.6153438072218211,0.07341554874505198,0.5023310868961232,0.0018021509334543659,1.368326136480496,0.16230189287014768,-0.938993372412546,0.01788917633975175,0.36014239616880006,0.5280353959241395,-0.018587164017459443
